Group,Intercept,Coefficient,R-squared,F-statistic,p-value,No,mean_param,mean_dh,mean_lh,mean_cosr,mean_gcosr,mean_rdcp,mean_re,mean_g,mean_pr,lnIntercept
6,-8010.979507814999,41.93678098421156,0.9334029046154114,4274.779316780544,1.7833234711135107e-181,108.0,0.0005308415167756568,0.008712064814814815,1.24159074074074,412.7450582892462,298.6331451744154,0.06132008437577779,33554.58252495371,1382.1140250462963,0.937225814814815,0.0
9,-9105.546004085545,49.64336424325636,0.9514088315409398,4894.967859964799,3.411395085377699e-166,73.0,0.0010887794419119111,0.00855854794520548,1.4326895890410956,600.6586836093209,298.6331451744154,0.10045860988450685,54564.29751473973,2011.359734561644,0.8753098904109589,0.0
14,-11717.182599051284,55.1805031811668,0.9547057124701983,5564.549567675603,1.9881436618971377e-179,26.0,0.0026176391923931554,0.008417192307692308,1.2558346153846154,605.4962739347004,204.42660626364523,0.15657848047107692,200852.48094761538,2690.703207153846,1.5326874230769232,0.0
15,-8376.018837246866,45.54871873585978,0.9482274870009029,2967.073529863715,4.46632708178743e-106,32.0,0.0027931845873234076,0.00900925,0.91297125,630.9638259698029,273.11887421941515,0.17426685958603125,178504.5933055625,2288.53992759375,1.02450365625,0.0
31,-5465.632002107297,52.725900093862194,0.9489093381559733,408.6070660654824,1.0665232509109882e-15,9.0,0.01992137875393863,0.009415555555555555,1.5314666666666668,657.9454715844886,238.38035163458497,0.4314979746963334,245633.18069144446,2399.1203477777776,1.3486836666666666,0.0
33,-17638.67506879152,77.06259659428494,0.9347114404681104,6914.927040557282,2.2777018353757143e-288,57.0,0.027710220838325056,0.0063918421052631584,0.5802336842105262,243.011082090411,126.74753031967684,0.47202826286419297,138578.57193598244,1571.8240531578947,2.0530260526315787,0.0
37,-6130.365477347879,49.23535559481381,0.9215023351685125,1807.8417991235158,5.357453553657542e-87,21.0,0.04405382898046964,0.017341190476190475,1.0752666666666666,423.8064695830008,285.6735154829867,0.5616780988272858,303492.11979761906,1522.9166754285714,1.121035619047619,0.0
38,778.5014787553865,13.768197798518415,0.9999360137147194,46882.04711352062,2.172338742774102e-07,5.0,0.06220824123481601,0.0112116,1.5464944,63.92918914400191,24.37486252357052,0.5821362267292,253757.2688594,2698.7133299999996,3.4994302,inf
42,-7975.006473515333,61.95852610647515,0.9285274260777563,272.81899724006416,1.65495484748265e-13,18.0,0.08358309291592014,0.007714,2.200843555555555,159.09989975733723,41.713228804497916,0.6488198229683334,117183.93997633333,1518.4045843020308,2.805987,0.0
46,-4756.963915024173,48.553812868930294,0.9614479306151089,623.4736201942442,3.4050130339029674e-19,13.0,0.2131826555414437,0.004083846153846154,0.9784,485.52287342386535,191.6099653554972,0.776535593913154,74059.02088284615,1961.0885972307692,2.7226744615384613,0.0
48,-42410.252269549914,81.52748342832757,0.9729671794535205,395.9127740883311,5.646979298426438e-10,9.0,0.5095405039368233,0.001905,0.1524,783.7727549072298,298.6331451744154,0.859125702502,84062.30467622222,2624.5337048888887,2.204015,0.0
